title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
The Visitor,the visitor,2008.0,89.0,84.0,120.0,127079.0,Certified-Fresh,Upright
Meet Bill,meet bill,2008.0,20.0,44.0,20.0,8165.0,Rotten,Spilled
Married Life,married life,2008.0,54.0,36.0,118.0,5083.0,Rotten,Spilled
Badland,badland,2007.0,16.0,54.0,19.0,294.0,Rotten,Spilled
The Oxford Murders,the oxford murders,2010.0,17.0,33.0,12.0,14554.0,Rotten,Spilled
Untraceable,untraceable,2008.0,16.0,52.0,148.0,225138.0,Rotten,Spilled
The Informers,the informers,2009.0,12.0,18.0,105.0,18505.0,Rotten,Spilled
Meeting Resistance,meeting resistance,2007.0,82.0,47.0,22.0,200.0,Fresh,Spilled
The Freshman,the freshman,1990.0,94.0,61.0,49.0,11850.0,Certified-Fresh,Upright
Guta-yubalja-deul (A Bloody Aria),guta yubalja deul a bloody aria,2006.0,42.0,40.0,24.0,297.0,Rotten,Spilled
Kenny,kenny,2008.0,100.0,86.0,25.0,8978.0,Fresh,Upright
The Rocker,the rocker,2008.0,41.0,46.0,123.0,44190.0,Rotten,Spilled
The Perfect Holiday,the perfect holiday,2007.0,19.0,52.0,59.0,159645.0,Rotten,Spilled
La Graine et le Mulet (The Secret of the Grain) (Couscous),la graine et le mulet the secret of the grain couscous,2007.0,93.0,76.0,54.0,9062.0,Certified-Fresh,Upright
Land of the Lost,land of the lost,2009.0,26.0,32.0,190.0,542684.0,Rotten,Spilled
[Rec],rec,2007.0,89.0,82.0,37.0,50437.0,Fresh,Upright
Look,look,2007.0,60.0,56.0,35.0,709.0,Fresh,Spilled
And God Created Woman,and god created woman,1988.0,38.0,33.0,8.0,1598.0,Rotten,Spilled
The Box,the box,2009.0,44.0,24.0,155.0,359098.0,Rotten,Spilled
Man in the Chair,man in the chair,2007.0,50.0,68.0,36.0,931.0,Rotten,Upright
Undoing,undoing,2006.0,31.0,26.0,13.0,372.0,Rotten,Spilled
Black Water,black water,2008.0,80.0,39.0,20.0,3952.0,Fresh,Spilled
21,21,2008.0,35.0,66.0,170.0,367852.0,Rotten,Upright
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),the duchess of langeais ne touchez pas la hache don t touch the axe,2007.0,70.0,52.0,66.0,865.0,Fresh,Spilled
Ben X,ben x,2007.0,68.0,80.0,38.0,6744.0,Fresh,Upright
Body of Lies,body of lies,2008.0,55.0,62.0,213.0,130010.0,Rotten,Upright
Passengers,passengers,2008.0,19.0,35.0,31.0,29523.0,Rotten,Spilled
The Grand,the grand,2008.0,40.0,43.0,43.0,3058.0,Rotten,Spilled
The Hammer,the hammer,2007.0,80.0,90.0,40.0,4944.0,Certified-Fresh,Upright
